filename,solvent,metal,time_hours,pH,linker,temperature
1-s2.0-S2666523924000357-main.pdf,water,mg,6.0,,,
Adv Funct Materials - 2023 - Ahmadijokani - COF and MOF Hybrids  Advanced Materials for Wastewater Treatment.pdf,water,ti,,2.0,terephthalic,
A_review_on_metal_organic_framework_synt.pdf,h2o,mg,,2.0,bpdc,
biosensors-14-00420.pdf,ethanol,ti,,,,
biosensors-15-00560.pdf,,ti,,,btc,
chemosensors-10-00290.pdf,ethanol,ce,,,,
chemosensors-13-00100-v2.pdf,water,ti,,,btc,160.0
cm3c00788.pdf,dmf,cu,,,h3btc,
cmd-04-00015.pdf,water,ti,,,,
computation-07-00036-v3.pdf,,ti,,,,
CORDIS_project_101107360_en.pdf,,eu,,,,
crystals-15-00182-v2.pdf,water,cu,,,btc,
d4qi02101k.pdf,water,cu,,,,
digi-mof-a-database-of-mof-synthesis-information-generated-via-text-mining.pdf,,al,,,,
energies-15-01489.pdf,water,mg,,,btc,160.0
energies-16-04950.pdf,ethanol,ti,,14.0,,
gels-09-00815.pdf,ethanol,mg,,1.0,btc,
gels-11-00076-v3.pdf,,ti,,,btc,
ijerph-20-04388.pdf,ethanol,ti,,,terephthalic,225.0
ijms-24-07819-v2.pdf,acetone,v,,,phthalic,
jcs-04-00075-v2.pdf,water,mg,,,btc,
Li_2023_Nanotechnology_34_202002.pdf,water,cu,48.0,,,
materials-13-02881-v2.pdf,water,ti,,,h2bdc,
materials-14-07607.pdf,water,mg,,,,
membranes-09-00088.pdf,water,mg,,,,60.0
membranes-13-00751.pdf,water,mg,,,,
membranes-14-00099.pdf,,mg,,,,
molecules-25-00185-v2.pdf,water,ti,,1.5,btc,
molecules-25-04216 (1).pdf,ethanol,mg,,,btc,
molecules-25-04216.pdf,ethanol,mg,,,btc,
molecules-28-01081-v2 (1).pdf,water,mg,,,,
molecules-28-01081-v2 (2).pdf,water,mg,,,,
molecules-28-01081-v2.pdf,water,mg,,,,
molecules-28-03622.pdf,water,mg,,,bpdc,
molecules-28-05970.pdf,,cu,,,,
nanomaterials-12-01511.pdf,,v,,,btc,
nanomaterials-13-02224.pdf,water,cu,2.0,,bdc,
nanomaterials-13-02612-v2.pdf,dmf,ti,,,btc,
nanomaterials-14-01340-v2.pdf,water,ti,,,btc,
pharmaceutics-15-02071.pdf,,ti,4.0,,,
pharmaceutics-16-00793-v2.pdf,,ti,,,bdc,
PIIS2405844021010173.pdf,water,cu,,,bpdc,
PIIS2405844023088291.pdf,water,mn,4.0,,bpdc,
polymers-15-01950-v2.pdf,water,al,4.0,,bdc,100.0
polymers-17-00130.pdf,water,ti,,,,
processes-12-02205.pdf,ethanol,mg,,,bdc,
sensors-22-02238.pdf,water,ti,,,btc,
sensors-25-02473-v2.pdf,,mg,2.0,,btc,
sensors-25-06539.pdf,water,al,,,,
Small - 2024 - Payam - Synthesis and Characterization of MOF‐Derived Structures  Recent Advances and Future Perspectives.pdf,,ti,2.0,2.0,btc,400.0
Smart Molecules - 2024 - Lee - Positional functionalizations of metal organic frameworks through invasive ligand exchange.pdf,dmso,ti,,,bpdc,
sustainability-14-05768-v2.pdf,water,mg,8.0,,btc,
sustainability-15-06686.pdf,water,mg,,,btc,
symmetry-15-00403.pdf,water,mg,,,,
