Model,Accuracy,Acc_Std,F1_Macro,Precision,Recall
SVM (Linear),0.7386363636363638,0.03713666963265501,0.3374505503955968,0.3276936026936027,0.37499999999999994
Decision Tree,0.7136363636363636,0.013636363636363669,0.2776057791537667,0.23787878787878786,0.3333333333333333
Extra Trees,0.7136363636363636,0.013636363636363669,0.2776057791537667,0.23787878787878786,0.3333333333333333
Random Forest,0.7136363636363636,0.013636363636363669,0.2776057791537667,0.23787878787878786,0.3333333333333333
SVM (RBF Kernel),0.7136363636363636,0.013636363636363669,0.2776057791537667,0.23787878787878786,0.3333333333333333
Logistic Regression,0.6886363636363637,0.05237144828092234,0.27564499484004124,0.24204545454545454,0.3214285714285714
Ridge Classifier,0.665909090909091,0.05036027228672805,0.27028437105836484,0.23977272727272725,0.31101190476190477
Gradient Boosting,0.6409090909090909,0.08778730870830893,0.25917325994725376,0.2293560606060606,0.29910714285714285
Linear Discriminant Analysis,0.6181818181818182,0.09727697526833044,0.2972689075630252,0.2798941798941799,0.31994047619047616
K-Nearest Neighbors,0.5727272727272728,0.13142574813455418,0.2553606237816764,0.24612193362193363,0.29910714285714285
AdaBoost,0.525,0.10570014503848621,0.2273148148148148,0.21359126984126983,0.2455357142857143
Naive Bayes,0.4295454545454545,0.18083541213211457,0.36784188034188037,0.3833333333333333,0.49851190476190477
