filename,solvent,metal,time,linker
1-s2.0-S2666523924000357-main.pdf,water,Mg,6.0,
Adv Funct Materials - 2023 - Ahmadijokani - COF and MOF Hybrids  Advanced Materials for Wastewater Treatment.pdf,water,co,,terephthalic
A_review_on_metal_organic_framework_synt.pdf,water,al,,BTC
biosensors-14-00420.pdf,,ti,,
biosensors-15-00560.pdf,,Ni,,BDC
chemosensors-10-00290.pdf,toluene,CO,,
chemosensors-13-00100-v2.pdf,water,al,,BTC
cm3c00788.pdf,,al,,terephthalic
cmd-04-00015.pdf,water,Fe,,
computation-07-00036-v3.pdf,,V,,
